ecg1,ecg2,ecg3,ecg4,ecg5,tstamp
0.00012475,6.95E-06,-5.22E-05,-2.56E-05,-4.64E-05,21:16.0
3.44E-05,1.36E-05,-2.20E-05,-1.53E-07,-1.62E-05,21:16.0
-3.12E-05,8.08E-06,-3.15E-06,1.62E-05,5.25E-06,21:16.0
-7.09E-05,4.96E-06,1.58E-05,3.97E-05,2.48E-05,21:16.0
-0.00010893,1.06E-05,1.97E-05,4.71E-05,3.31E-05,21:16.0
-6.63E-05,8.98E-06,-1.29E-06,2.49E-05,1.36E-05,21:16.0
2.82E-05,8.08E-06,-2.50E-05,-2.85E-08,-1.05E-05,21:16.0
9.77E-05,1.05E-05,-4.71E-05,-2.38E-05,-3.50E-05,21:16.0
0.0001598,1.03E-05,-6.48E-05,-4.28E-05,-5.64E-05,21:16.0
0.00017007,7.44E-06,-6.98E-05,-4.43E-05,-5.60E-05,21:16.0
0.00010597,7.28E-06,-5.76E-05,-2.79E-05,-3.62E-05,21:16.0
3.85E-05,1.07E-05,-3.10E-05,-4.41E-06,-6.86E-06,21:16.0
-2.45E-05,1.03E-05,-3.98E-06,1.85E-05,1.42E-05,21:16.0
-8.85E-05,1.21E-05,1.54E-05,4.16E-05,2.71E-05,21:16.0
-0.00010258,1.33E-05,1.40E-05,4.68E-05,3.59E-05,21:16.0
-4.64E-05,8.29E-06,-7.48E-06,2.65E-05,1.85E-05,21:16.0
3.70E-05,7.09E-06,-3.37E-05,-1.39E-06,-1.35E-05,21:16.0
0.0001079,5.67E-06,-5.97E-05,-2.76E-05,-3.72E-05,21:16.1
0.00015932,3.90E-06,-7.43E-05,-4.33E-05,-5.28E-05,21:16.1
0.0001616,4.43E-06,-7.59E-05,-4.60E-05,-5.18E-05,21:16.1
0.00010602,2.06E-06,-6.83E-05,-2.97E-05,-3.57E-05,21:16.1
3.37E-05,5.85E-06,-4.34E-05,2.86E-06,-1.12E-05,21:16.1
-4.54E-05,1.11E-05,-1.51E-05,2.52E-05,1.35E-05,21:16.1
-0.00010447,6.66E-06,1.21E-06,3.97E-05,2.95E-05,21:16.1
-0.00010424,4.05E-06,5.65E-06,4.39E-05,3.78E-05,21:16.1
-6.47E-05,6.07E-06,-1.24E-05,2.02E-05,2.18E-05,21:16.1
1.36E-05,5.12E-06,-4.70E-05,-8.30E-06,-1.19E-05,21:16.1
0.00010304,2.82E-06,-7.39E-05,-2.94E-05,-3.59E-05,21:16.1
0.00014501,-3.09E-07,-8.74E-05,-4.95E-05,-5.21E-05,21:16.1
0.00015428,1.18E-07,-8.76E-05,-5.29E-05,-5.45E-05,21:16.1
0.00011822,8.06E-06,-7.09E-05,-2.88E-05,-3.45E-05,21:16.1
2.91E-05,1.30E-05,-4.71E-05,3.37E-06,-8.05E-06,21:16.1
